Year,ID,Station,Capacity,On-Peak Energy,Off-Peak Energy,CF,Energy,Mbtu,Cold,Warm,Stup Cst,Fuel Cst,VO&M Cst,FO&M Cst,Oper Cst,Tot Cst,Ave Hrt
2016,57,FutureWind,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,58,FuturePV,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,59,FuturePV2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,60,SCH-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,61,SCH-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,62,SCH-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,63,SCH-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,64,SCH-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,65,SCH-6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,66,JBPHH16-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,67,JBPHH16-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,68,JBPHH16-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,69,JBPHH16-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,70,JBPHH16-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,71,JBPHH16-6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,72,LM6000CT-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,73,LM6000CT-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,74,LM6000CT-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,75,KMCBH9-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,76,KMCBH9-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,77,KMCBH9-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,78,KMCBH9-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,79,KMCBH9-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,80,KMCBH9-6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,81,ICE-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,82,ICE-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,83,ICE-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,84,ICE-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,85,ICE-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,86,ICE-6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,87,ICE-7,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,88,NE3x1GAS,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,89,NE3x1LIQ,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,90,NE1x1CC-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,91,76CT-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,92,76CT-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,93,76CT-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,94,76CT-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,95,113CC-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,96,113CC-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,97,113CC-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,98,113CC-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,99,140CC-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,100,140CC-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,101,140CC-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,102,140CC-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,103,Waiau 3VPO,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,104,Waiau 4VPO,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,105,Waiau 5VPO,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,106,Waiau 6VPO,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,107,Waiau 7VPO,25,87.44585854,62.3073217,68.19361578,149.7531802,1833.259745,,7,0,12.86780845,0.044764958,0,0,12.91257341,12241.87521
2016,108,Waiau 8VPO,25,99.93210134,57.2636812,71.58277893,157.1957825,1876.230818,,6,0,13.11636847,0.046989737,0,0,13.16335821,11935.63076
2016,111,Kahe 1VPO,25,103.3349067,62.83937267,75.67134761,166.1742793,1919.975554,,7,0,13.49328788,0.049673634,0,0,13.54296152,11553.98755
2016,112,Kahe 2VPO,25,110.2856683,78.10421817,85.78774428,188.3898864,2122.658434,,7,0,14.88066233,0.056314432,0,0,14.93697676,11267.36936
2016,113,Kahe 3VPO,25,110.7461266,79.05174921,86.4289052,189.7978758,2098.075878,,7,0,14.71239351,0.056735315,0,0,14.76912882,11054.26428
2016,114,Kahe 4VPO,25,92.87248232,65.61879205,72.17271146,158.4912744,1844.224427,,6,0,12.9246306,0.047376992,0,0,12.97200759,11636.12593
2016,115,ICE-8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,116,ICE-9,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,117,ICE-10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
